order_id,event_time,arrival_time,customer_id,product_id,quantity,unit_price,discount_amount,shipping_fee,payment_status,shipping_status,warehouse_id,delivery_partner,late_arrival_flag,source_system,total_amount
O00000001,2026-03-21 04:37:21,2026-03-21 05:24:42,C120208,P102737,1,84.99,0.0,0.0,paid,delayed,WH-AP-01,Local Partner,False,payment_gateway,84.99
O00000002,2026-03-11 03:53:25,2026-03-11 04:27:55,C101396,P106607,1,275.1,13.76,3.99,paid,delivered,WH-AP-03,FedEx,False,order_service,265.33
O00000003,2026-03-15 16:08:26,2026-03-15 16:54:27,C106144,P104166,1,42.13,8.43,3.99,paid,delivered,WH-ME-03,Local Partner,False,shipping_partner,37.69
O00000004,2025-12-25 21:58:32,2025-12-25 23:09:10,C112139,P110051,1,65.76,3.29,3.99,paid,delivered,WH-LA-03,Amazon Logistics,False,payment_gateway,66.46
O00000005,2026-01-10 08:25:08,2026-01-10 10:03:34,C105021,P108310,2,54.78,21.91,9.99,paid,delivered,WH-NA-04,Amazon Logistics,False,shipping_partner,97.64
O00000006,2026-03-03 01:49:43,2026-03-03 02:54:13,C122799,P111015,3,24.94,7.48,3.99,paid,in_transit,WH-NA-03,FedEx,False,order_service,71.33
O00000007,2025-11-13 14:49:02,2025-11-14 12:30:17,C101946,P102629,1,76.36,0.0,3.99,failed,delivered,WH-LA-03,Amazon Logistics,True,order_service,80.35
O00000008,2026-03-22 07:16:50,2026-03-22 08:17:30,C108183,P103210,2,99.09,0.0,0.0,paid,delivered,WH-LA-02,DHL,False,payment_gateway,198.18
O00000009,2026-02-08 02:02:53,2026-02-09 22:13:18,C106230,P109247,1,5.85,0.0,9.99,paid,delivered,WH-LA-04,UPS,True,order_service,15.84
O00000010,2025-10-11 18:47:11,2025-10-11 19:52:24,C107062,P105835,4,19.59,0.0,0.0,paid,in_transit,WH-NA-01,Local Partner,False,shipping_partner,78.36
O00000011,2026-01-13 09:44:29,2026-01-13 10:16:12,C114295,P111045,2,29.05,2.91,5.99,paid,delivered,WH-LA-03,FedEx,False,shipping_partner,61.18
O00000012,2026-01-14 09:13:05,2026-01-14 09:27:59,C115966,P104507,2,10.56,0.0,5.99,paid,delivered,WH-ME-01,FedEx,False,order_service,27.11
O00000013,2025-11-11 17:59:07,2025-11-12 14:17:38,C121054,P108932,2,14.2,1.42,3.99,paid,delivered,WH-NA-02,DHL,True,shipping_partner,30.97
O00000014,2026-03-10 06:34:08,2026-03-10 06:50:14,C116236,P103336,1,14.73,0.0,0.0,failed,delivered,WH-EU-01,UPS,False,order_service,14.73
O00000015,2026-02-15 02:16:21,2026-02-16 20:51:32,C107683,P104153,1,14.5,0.0,0.0,failed,delivered,WH-LA-02,UPS,True,order_service,14.5
O00000016,2026-03-11 12:33:49,2026-03-11 14:07:47,C120875,P108385,2,23.24,0.0,0.0,pending,in_transit,WH-EU-03,DHL,False,payment_gateway,46.48
O00000017,2026-03-22 11:07:55,2026-03-23 09:57:56,C114417,P104327,3,16.35,2.45,0.0,paid,delivered,WH-AP-04,Amazon Logistics,True,shipping_partner,46.6
O00000018,2025-10-25 15:52:03,2025-10-27 08:13:52,C110652,P108335,1,18.84,1.88,0.0,paid,delivered,WH-NA-01,FedEx,True,shipping_partner,16.96
O00000019,2025-12-05 04:50:20,2025-12-05 06:08:54,C116855,P100769,1,22.73,1.14,9.99,paid,delayed,WH-AP-02,UPS,False,order_service,31.58
O00000020,2026-01-10 08:31:02,2026-01-10 08:59:22,C108917,P104977,1,19.48,1.95,0.0,paid,delivered,WH-ME-03,FedEx,False,payment_gateway,17.53
O00000021,2026-01-30 19:04:23,2026-01-31 04:46:31,C106170,P110247,1,13.95,0.0,0.0,paid,delivered,WH-NA-02,DHL,True,order_service,13.95
O00000022,2025-11-10 13:29:01,2025-11-10 14:53:02,C103703,P111529,1,8.18,0.41,0.0,paid,delivered,WH-ME-04,FedEx,False,shipping_partner,7.77
O00000023,2026-02-21 13:29:46,2026-02-23 10:41:04,C100665,P104951,1,65.22,6.52,0.0,paid,delivered,WH-EU-02,Local Partner,True,order_service,58.7
O00000024,2025-12-21 14:01:45,2025-12-21 15:07:19,C113343,P103548,1,11.75,1.17,0.0,paid,delivered,WH-AP-01,Local Partner,False,payment_gateway,10.58
O00000025,2026-03-16 12:34:19,2026-03-16 12:37:37,C114419,P111657,1,5.34,0.0,0.0,failed,cancelled,WH-LA-03,Amazon Logistics,False,payment_gateway,5.34
O00000026,2026-03-22 00:40:01,2026-03-22 02:11:25,C112455,P111532,1,43.95,0.0,3.99,paid,delivered,WH-LA-02,Local Partner,False,payment_gateway,47.94
O00000027,2026-03-29 23:53:55,2026-03-30 01:04:16,C101664,P110202,2,42.18,0.0,3.99,paid,delivered,WH-LA-01,Amazon Logistics,False,shipping_partner,88.35
O00000028,2025-12-05 23:19:26,2025-12-06 00:35:12,C118108,P100133,1,36.62,0.0,5.99,paid,delivered,WH-NA-01,UPS,False,payment_gateway,42.61
O00000029,2025-11-11 10:30:15,2025-11-11 11:13:37,C123134,P108412,2,14.39,0.0,0.0,paid,delivered,WH-AP-04,DHL,False,order_service,28.78
O00000030,2026-01-09 05:41:57,2026-01-10 22:46:07,C107748,P107958,2,24.09,9.63,0.0,paid,delivered,WH-ME-04,Local Partner,True,shipping_partner,38.55
O00000031,2025-12-01 21:30:23,2025-12-01 22:28:11,C108598,P106405,1,13.58,0.0,5.99,paid,in_transit,WH-ME-04,Amazon Logistics,False,payment_gateway,19.57
