product_id,product_name,category,subcategory,brand,seller_id,launch_date,base_price,warehouse_id,is_active,weight_kg,product_rating_initial
P100000,CloudNine Cookware Item 00000,Home & Kitchen,Cookware,PureGlow,S1250,2023-04-17,35.61,WH-EU-04,True,2.24,3.61
P100001,Zenith Men Clothing Item 00001,Fashion,Men Clothing,CloudNine,S1558,2024-01-08,22.85,WH-NA-03,True,1.1,2.55
P100002,Astra STEM Toys Item 00002,Toys,STEM Toys,NovaTech,S1223,2023-10-04,15.87,WH-EU-04,True,1.61,2.52
P100003,UrbanWear Wearables Item 00003,Electronics,Wearables,CloudNine,S1665,2024-05-25,24.94,WH-LA-02,True,1.76,3.42
P100004,Toyverse Board Games Item 00004,Toys,Board Games,EcoLine,S1284,2024-07-16,73.64,WH-NA-01,True,2.09,3.67
P100005,FitPeak Bags Item 00005,Fashion,Bags,PureGlow,S1159,2025-04-20,33.54,WH-EU-03,True,4.48,4.91
P100006,NovaTech Fiction Item 00006,Books,Fiction,BookNest,S1099,2024-07-18,15.64,WH-ME-04,True,4.82,4.21
P100007,PureGlow Children Item 00007,Books,Children,Astra,S1747,2023-02-04,57.26,WH-AP-03,True,3.29,4.16
P100008,NovaTech Cleaning Item 00008,Home & Kitchen,Cleaning,FreshMart,S1300,2023-04-16,28.69,WH-LA-04,True,0.3,4.61
P100009,UrbanWear Children Item 00009,Books,Children,CloudNine,S1071,2023-09-27,4.79,WH-NA-02,True,0.97,3.93
P100010,NovaTech Haircare Item 00010,Beauty,Haircare,UrbanWear,S1887,2024-12-25,37.46,WH-NA-04,True,2.55,4.57
P100011,Toyverse Dolls Item 00011,Toys,Dolls,Zenith,S1854,2024-01-15,8.94,WH-ME-04,True,1.15,2.91
P100012,FitPeak Shoes Item 00012,Fashion,Shoes,UrbanWear,S1686,2023-05-09,23.74,WH-ME-01,True,2.0,4.54
P100013,Zenith Decor Item 00013,Home & Kitchen,Decor,HomePro,S1546,2023-10-16,53.16,WH-EU-04,True,4.77,4.13
P100014,BookNest Bags Item 00014,Fashion,Bags,PureGlow,S1655,2024-05-17,12.53,WH-LA-02,True,2.29,4.32
P100015,Astra Haircare Item 00015,Beauty,Haircare,UrbanWear,S1841,2025-01-08,45.88,WH-NA-02,True,3.12,4.4
P100016,PureGlow Comics Item 00016,Books,Comics,NovaTech,S1216,2025-03-05,75.31,WH-LA-03,True,3.21,2.56
P100017,Zenith Education Item 00017,Books,Education,Toyverse,S1405,2023-04-06,8.46,WH-AP-03,True,5.11,4.01
P100018,HomePro Shoes Item 00018,Fashion,Shoes,UrbanWear,S1762,2024-06-08,8.47,WH-LA-02,True,2.89,2.9
P100019,BookNest Yoga Item 00019,Sports,Yoga,EcoLine,S1408,2023-01-28,48.74,WH-ME-04,True,3.19,4.71
P100020,FreshMart Makeup Item 00020,Beauty,Makeup,Toyverse,S1093,2024-04-17,13.73,WH-NA-02,True,1.87,3.07
P100021,Zenith Storage Item 00021,Home & Kitchen,Storage,HomePro,S1811,2025-01-14,63.77,WH-AP-02,True,1.98,3.84
P100022,BookNest Cleaning Item 00022,Home & Kitchen,Cleaning,EcoLine,S1479,2023-08-22,105.51,WH-LA-01,True,2.21,3.31
P100023,Astra Yoga Item 00023,Sports,Yoga,Zenith,S1738,2023-04-23,100.95,WH-NA-04,True,2.85,3.12
P100024,NovaTech Cycling Item 00024,Sports,Cycling,PureGlow,S1445,2024-09-04,55.43,WH-EU-02,True,4.99,4.02
P100025,CloudNine Snacks Item 00025,Grocery,Snacks,CloudNine,S1269,2025-01-05,14.96,WH-LA-01,True,2.51,2.86
P100026,NovaTech Accessories Item 00026,Fashion,Accessories,Zenith,S1305,2024-02-20,31.65,WH-LA-01,True,2.49,3.42
P100027,FitPeak Makeup Item 00027,Beauty,Makeup,HomePro,S1552,2025-04-16,42.35,WH-LA-01,True,1.48,3.84
P100028,FitPeak Wearables Item 00028,Electronics,Wearables,Toyverse,S1019,2023-12-15,11.67,WH-NA-04,True,1.56,3.05
P100029,UrbanWear Business Item 00029,Books,Business,Astra,S1246,2023-05-28,47.73,WH-LA-03,True,3.87,4.23
P100030,CloudNine Cookware Item 00030,Home & Kitchen,Cookware,Toyverse,S1835,2024-10-02,39.07,WH-NA-03,True,2.2,3.02
P100031,Zenith Women Clothing Item 00031,Fashion,Women Clothing,Toyverse,S1562,2023-09-20,99.91,WH-EU-02,True,3.35,3.89
P100032,EcoLine Yoga Item 00032,Sports,Yoga,BookNest,S1216,2023-10-31,7.35,WH-LA-02,False,2.87,4.71
P100033,BookNest Haircare Item 00033,Beauty,Haircare,Zenith,S1665,2024-10-20,15.63,WH-ME-04,True,1.19,4.72
P100034,Toyverse Breakfast Item 00034,Grocery,Breakfast,NovaTech,S1253,2024-08-09,38.99,WH-EU-04,True,5.68,4.17
P100035,Astra Furniture Item 00035,Home & Kitchen,Furniture,EcoLine,S1567,2024-04-17,6.13,WH-EU-04,True,5.51,2.9
P100036,NovaTech Skincare Item 00036,Beauty,Skincare,CloudNine,S1646,2024-12-20,99.42,WH-NA-02,False,3.53,2.55
P100037,Astra Skincare Item 00037,Beauty,Skincare,FitPeak,S1072,2024-05-18,9.05,WH-LA-01,True,2.45,4.14
P100038,Zenith Haircare Item 00038,Beauty,Haircare,Toyverse,S1219,2024-04-14,12.8,WH-LA-02,True,2.79,4.93
P100039,EcoLine Accessories Item 00039,Fashion,Accessories,Toyverse,S1248,2023-10-10,47.42,WH-AP-04,True,2.06,4.11
P100040,NovaTech Board Games Item 00040,Toys,Board Games,NovaTech,S1674,2025-04-08,46.41,WH-AP-02,True,3.34,4.42
P100041,BookNest Comics Item 00041,Books,Comics,Toyverse,S1884,2024-06-01,6.44,WH-NA-02,True,2.06,4.82
P100042,BookNest Cookware Item 00042,Home & Kitchen,Cookware,CloudNine,S1347,2023-04-09,34.99,WH-NA-04,False,2.36,3.26
P100043,UrbanWear Makeup Item 00043,Beauty,Makeup,FreshMart,S1459,2023-11-19,15.53,WH-EU-01,True,1.23,4.84
