pricing_sk,product_id,seller_id,category,list_price,discount_pct,final_price,currency,effective_from,effective_to,is_current,change_reason
PR0000001,P100000,S1250,Home & Kitchen,39.28,0.0,39.28,USD,2024-02-22,2024-05-29,False,competitor_price_match
PR0000002,P100000,S1250,Home & Kitchen,36.8,0.0,36.8,USD,2024-05-30,2024-07-21,False,regular_update
PR0000003,P100000,S1250,Home & Kitchen,39.11,0.0,39.11,USD,2024-07-22,,True,promotion
PR0000004,P100001,S1558,Fashion,20.94,0.0,20.94,USD,2024-01-29,2024-05-31,False,seasonal_sale
PR0000005,P100001,S1558,Fashion,18.0,0.0,18.0,USD,2024-06-01,2024-09-06,False,seasonal_sale
PR0000006,P100001,S1558,Fashion,17.36,0.0,17.36,USD,2024-09-07,2024-11-17,False,competitor_price_match
PR0000007,P100001,S1558,Fashion,20.03,0.0,20.03,USD,2024-11-18,2025-03-18,False,inventory_clearance
PR0000008,P100001,S1558,Fashion,20.59,0.0,20.59,USD,2025-03-19,,True,regular_update
PR0000009,P100002,S1223,Toys,18.73,0.0,18.73,USD,2024-02-25,2024-04-08,False,seasonal_sale
PR0000010,P100002,S1223,Toys,20.71,0.0,20.71,USD,2024-04-09,2024-06-15,False,competitor_price_match
PR0000011,P100002,S1223,Toys,22.42,0.0,22.42,USD,2024-06-16,2024-08-20,False,promotion
PR0000012,P100002,S1223,Toys,20.64,0.0,20.64,USD,2024-08-21,,True,competitor_price_match
PR0000013,P100003,S1665,Electronics,25.99,0.3,18.19,USD,2024-01-19,2024-04-01,False,regular_update
PR0000014,P100003,S1665,Electronics,29.77,0.0,29.77,USD,2024-04-02,2024-08-04,False,promotion
PR0000015,P100003,S1665,Electronics,34.49,0.0,34.49,USD,2024-08-05,2024-10-10,False,inventory_clearance
PR0000016,P100003,S1665,Electronics,33.65,0.0,33.65,USD,2024-10-11,,True,promotion
PR0000017,P100004,S1284,Toys,75.4,0.0,75.4,USD,2024-01-26,2024-03-08,False,competitor_price_match
PR0000018,P100004,S1284,Toys,64.42,0.0,64.42,USD,2024-03-09,2024-07-04,False,competitor_price_match
PR0000019,P100004,S1284,Toys,73.8,0.0,73.8,USD,2024-07-05,2024-10-20,False,seasonal_sale
PR0000020,P100004,S1284,Toys,72.95,0.0,72.95,USD,2024-10-21,,True,promotion
PR0000021,P100005,S1159,Fashion,34.06,0.07,31.68,USD,2024-02-06,2024-05-31,False,inventory_clearance
PR0000022,P100005,S1159,Fashion,31.94,0.11,28.43,USD,2024-06-01,2024-08-21,False,promotion
PR0000023,P100005,S1159,Fashion,28.83,0.13,25.08,USD,2024-08-22,,True,promotion
PR0000024,P100006,S1099,Books,13.56,0.0,13.56,USD,2024-02-27,2024-06-17,False,competitor_price_match
PR0000025,P100006,S1099,Books,12.47,0.0,12.47,USD,2024-06-18,2024-09-25,False,inventory_clearance
PR0000026,P100006,S1099,Books,14.13,0.0,14.13,USD,2024-09-26,2025-01-26,False,competitor_price_match
PR0000027,P100006,S1099,Books,13.91,0.0,13.91,USD,2025-01-27,,True,seasonal_sale
PR0000028,P100007,S1747,Books,59.09,0.0,59.09,USD,2024-02-09,2024-03-23,False,competitor_price_match
PR0000029,P100007,S1747,Books,67.95,0.0,67.95,USD,2024-03-24,2024-06-24,False,regular_update
PR0000030,P100007,S1747,Books,61.3,0.0,61.3,USD,2024-06-25,2024-10-23,False,competitor_price_match
PR0000031,P100007,S1747,Books,56.93,0.0,56.93,USD,2024-10-24,,True,inventory_clearance
PR0000032,P100008,S1300,Home & Kitchen,26.0,0.0,26.0,USD,2024-01-10,2024-03-19,False,promotion
PR0000033,P100008,S1300,Home & Kitchen,27.97,0.0,27.97,USD,2024-03-20,2024-05-20,False,promotion
PR0000034,P100008,S1300,Home & Kitchen,27.45,0.0,27.45,USD,2024-05-21,,True,promotion
PR0000035,P100009,S1071,Books,4.19,0.0,4.19,USD,2024-02-06,2024-05-27,False,regular_update
PR0000036,P100009,S1071,Books,3.98,0.19,3.22,USD,2024-05-28,2024-08-15,False,inventory_clearance
PR0000037,P100009,S1071,Books,4.28,0.0,4.28,USD,2024-08-16,2024-12-20,False,competitor_price_match
PR0000038,P100009,S1071,Books,4.59,0.0,4.59,USD,2024-12-21,,True,seasonal_sale
PR0000039,P100010,S1887,Beauty,35.55,0.0,35.55,USD,2024-02-07,2024-05-08,False,seasonal_sale
PR0000040,P100010,S1887,Beauty,38.76,0.0,38.76,USD,2024-05-09,,True,regular_update
PR0000041,P100011,S1854,Toys,7.85,0.0,7.85,USD,2024-01-30,2024-05-29,False,competitor_price_match
PR0000042,P100011,S1854,Toys,7.59,0.0,7.59,USD,2024-05-30,2024-07-17,False,inventory_clearance
PR0000043,P100011,S1854,Toys,7.58,0.0,7.58,USD,2024-07-18,,True,seasonal_sale
PR0000044,P100012,S1686,Fashion,23.53,0.0,23.53,USD,2024-01-26,2024-06-03,False,seasonal_sale
PR0000045,P100012,S1686,Fashion,27.38,0.0,27.38,USD,2024-06-04,2024-07-19,False,seasonal_sale
PR0000046,P100012,S1686,Fashion,31.27,0.0,31.27,USD,2024-07-20,,True,competitor_price_match
PR0000047,P100013,S1546,Home & Kitchen,60.24,0.0,60.24,USD,2024-02-25,2024-04-04,False,seasonal_sale
PR0000048,P100013,S1546,Home & Kitchen,67.71,0.0,67.71,USD,2024-04-05,2024-07-23,False,regular_update
PR0000049,P100013,S1546,Home & Kitchen,60.84,0.0,60.84,USD,2024-07-24,,True,promotion
PR0000050,P100014,S1655,Fashion,13.04,0.1,11.74,USD,2024-01-09,2024-04-07,False,competitor_price_match
PR0000051,P100014,S1655,Fashion,13.74,0.0,13.74,USD,2024-04-08,2024-07-13,False,inventory_clearance
PR0000052,P100014,S1655,Fashion,15.61,0.24,11.86,USD,2024-07-14,2024-11-06,False,inventory_clearance
PR0000053,P100014,S1655,Fashion,15.96,0.12,14.04,USD,2024-11-07,2024-12-29,False,promotion
PR0000054,P100014,S1655,Fashion,18.05,0.1,16.25,USD,2024-12-30,,True,promotion
PR0000055,P100015,S1841,Beauty,46.28,0.33,31.01,USD,2024-01-21,2024-04-12,False,competitor_price_match
PR0000056,P100015,S1841,Beauty,38.53,0.0,38.53,USD,2024-04-13,2024-08-19,False,competitor_price_match
PR0000057,P100015,S1841,Beauty,45.16,0.0,45.16,USD,2024-08-20,2024-11-18,False,regular_update
PR0000058,P100015,S1841,Beauty,52.04,0.0,52.04,USD,2024-11-19,,True,competitor_price_match
PR0000059,P100016,S1216,Books,76.07,0.0,76.07,USD,2024-01-17,2024-03-18,False,seasonal_sale
PR0000060,P100016,S1216,Books,70.94,0.0,70.94,USD,2024-03-19,2024-04-24,False,seasonal_sale
PR0000061,P100016,S1216,Books,80.84,0.0,80.84,USD,2024-04-25,2024-07-02,False,inventory_clearance
PR0000062,P100016,S1216,Books,72.38,0.0,72.38,USD,2024-07-03,,True,seasonal_sale
PR0000063,P100017,S1405,Books,7.06,0.0,7.06,USD,2024-01-17,2024-04-16,False,inventory_clearance
PR0000064,P100017,S1405,Books,8.31,0.0,8.31,USD,2024-04-17,2024-08-13,False,promotion
PR0000065,P100017,S1405,Books,8.96,0.0,8.96,USD,2024-08-14,2024-12-05,False,inventory_clearance
PR0000066,P100017,S1405,Books,8.36,0.0,8.36,USD,2024-12-06,,True,inventory_clearance
PR0000067,P100018,S1762,Fashion,7.35,0.18,6.03,USD,2024-02-23,2024-04-18,False,promotion
PR0000068,P100018,S1762,Fashion,6.79,0.0,6.79,USD,2024-04-19,2024-05-24,False,competitor_price_match
PR0000069,P100018,S1762,Fashion,7.47,0.0,7.47,USD,2024-05-25,2024-07-27,False,promotion
PR0000070,P100018,S1762,Fashion,7.77,0.22,6.06,USD,2024-07-28,2024-09-08,False,inventory_clearance
PR0000071,P100018,S1762,Fashion,7.72,0.0,7.72,USD,2024-09-09,,True,regular_update
PR0000072,P100019,S1408,Sports,43.97,0.0,43.97,USD,2024-01-26,2024-03-30,False,competitor_price_match
PR0000073,P100019,S1408,Sports,36.57,0.33,24.5,USD,2024-03-31,2024-07-16,False,inventory_clearance
PR0000074,P100019,S1408,Sports,42.63,0.0,42.63,USD,2024-07-17,,True,promotion
