review_id,review_time,customer_id,product_id,rating,review_title,verified_purchase,helpful_votes,sentiment_score,source_file_date,batch_loaded_at
R00000001,2025-10-02 06:16:13,C118060,P100708,3,Average item,True,2,0.467,2025-10-02,2025-10-07 06:16:13
R00000002,2026-01-14 08:45:53,C112982,P104726,5,Average item,False,4,0.077,2026-01-14,2026-01-15 08:45:53
R00000003,2026-02-16 06:39:39,C123989,P111860,4,Not as expected,False,1,0.734,2026-02-16,2026-02-22 06:39:39
R00000004,2025-10-22 08:28:51,C100569,P103054,4,Would buy again,False,3,0.345,2025-10-22,2025-10-27 08:28:51
R00000005,2026-02-11 18:04:44,C117755,P103163,5,Good quality,False,2,0.465,2026-02-11,2026-02-12 18:04:44
R00000006,2025-11-05 20:27:51,C116332,P100248,3,Average item,True,2,1.0,2025-11-05,2025-11-10 20:27:51
R00000007,2025-12-24 10:25:19,C100298,P111445,4,Not as expected,True,1,0.092,2025-12-24,2025-12-29 10:25:19
R00000008,2026-01-16 06:26:05,C103562,P105833,2,Great value,True,2,0.338,2026-01-16,2026-01-17 06:26:05
R00000009,2025-12-12 00:46:30,C107463,P104717,4,Would buy again,True,3,0.249,2025-12-12,2025-12-16 00:46:30
R00000010,2026-03-05 13:07:45,C123757,P100698,4,Not as expected,True,1,0.629,2026-03-05,2026-03-11 13:07:45
R00000011,2025-10-03 18:22:36,C124314,P109094,4,Good quality,True,2,0.619,2025-10-03,2025-10-08 18:22:36
R00000012,2026-03-01 10:03:07,C103920,P100061,2,Excellent,True,5,0.765,2026-03-01,2026-03-04 10:03:07
R00000013,2026-01-04 22:15:12,C120650,P111398,4,Fast shipping,True,3,-0.266,2026-01-04,2026-01-09 22:15:12
R00000014,2026-02-27 05:26:37,C108938,P101240,2,Average item,True,0,0.68,2026-02-27,2026-03-01 05:26:37
R00000015,2025-11-24 18:20:03,C104129,P111199,3,Average item,True,1,0.332,2025-11-24,2025-11-27 18:20:03
R00000016,2025-11-15 20:13:06,C108030,P108799,5,Average item,True,4,0.095,2025-11-15,2025-11-16 20:13:06
R00000017,2025-10-22 01:58:26,C110617,P106432,3,Needs improvement,True,2,0.84,2025-10-22,2025-10-24 01:58:26
R00000018,2025-10-23 02:50:23,C106419,P101464,5,Average item,True,3,0.935,2025-10-23,2025-10-28 02:50:23
R00000019,2025-11-30 10:33:54,C106628,P111842,4,Not as expected,True,1,0.852,2025-11-30,2025-12-06 10:33:54
R00000020,2026-01-13 17:13:40,C117190,P110626,5,Needs improvement,True,1,0.453,2026-01-13,2026-01-16 17:13:40
R00000021,2026-03-16 00:47:08,C109335,P108611,5,Needs improvement,False,1,0.406,2026-03-16,2026-03-19 00:47:08
R00000022,2026-01-29 07:53:04,C113491,P101372,2,Excellent,True,4,-0.153,2026-01-29,2026-02-02 07:53:04
R00000023,2026-03-22 15:38:51,C122401,P102239,5,Great value,True,2,0.339,2026-03-22,2026-03-26 15:38:51
R00000024,2026-02-26 22:45:46,C106775,P100879,4,Needs improvement,True,3,1.0,2026-02-26,2026-02-28 22:45:46
R00000025,2026-01-15 08:08:26,C123904,P106195,4,Average item,True,1,0.439,2026-01-15,2026-01-20 08:08:26
R00000026,2026-03-03 06:55:27,C113947,P100303,4,Needs improvement,True,2,0.643,2026-03-03,2026-03-04 06:55:27
R00000027,2025-12-22 08:16:20,C116681,P100419,4,Fast shipping,True,2,0.852,2025-12-22,2025-12-27 08:16:20
R00000028,2025-11-12 01:34:08,C112231,P111652,5,Average item,True,1,0.522,2025-11-12,2025-11-17 01:34:08
R00000029,2025-10-12 07:31:51,C101940,P111766,4,Good quality,True,2,0.33,2025-10-12,2025-10-16 07:31:51
R00000030,2026-01-08 02:44:26,C116175,P105435,3,Great value,True,0,1.0,2026-01-08,2026-01-09 02:44:26
R00000031,2025-12-12 11:42:38,C116681,P108913,3,Good quality,False,6,0.486,2025-12-12,2025-12-13 11:42:38
R00000032,2026-01-22 16:02:51,C104154,P109205,5,Good quality,False,0,0.247,2026-01-22,2026-01-26 16:02:51
R00000033,2025-12-21 22:42:00,C101388,P104354,4,Fast shipping,True,3,0.125,2025-12-21,2025-12-27 22:42:00
R00000034,2026-02-08 08:51:56,C107099,P100426,3,Would buy again,True,4,0.435,2026-02-08,2026-02-14 08:51:56
R00000035,2026-03-13 01:28:05,C103323,P104509,5,Would buy again,True,3,0.76,2026-03-13,2026-03-14 01:28:05
R00000036,2026-02-16 07:12:17,C109194,P110676,3,Not as expected,True,3,0.456,2026-02-16,2026-02-20 07:12:17
R00000037,2025-11-27 21:10:05,C117592,P111937,5,Fast shipping,True,3,0.54,2025-11-27,2025-11-29 21:10:05
R00000038,2026-03-24 02:01:45,C118064,P107964,5,Average item,True,1,0.737,2026-03-24,2026-03-29 02:01:45
R00000039,2026-01-20 12:00:36,C114147,P101583,4,Fast shipping,True,3,0.6,2026-01-20,2026-01-21 12:00:36
R00000040,2025-10-24 08:27:50,C113980,P105862,5,Needs improvement,True,1,0.946,2025-10-24,2025-10-27 08:27:50
R00000041,2026-02-28 01:07:19,C124314,P104259,3,Good quality,True,2,0.462,2026-02-28,2026-03-02 01:07:19
R00000042,2026-03-12 16:49:27,C111595,P103258,4,Excellent,True,7,-0.063,2026-03-12,2026-03-14 16:49:27
R00000043,2026-03-08 16:01:29,C104225,P104571,5,Not as expected,True,3,0.502,2026-03-08,2026-03-09 16:01:29
R00000044,2025-11-01 17:36:28,C117099,P102851,3,Great value,False,2,0.213,2025-11-01,2025-11-07 17:36:28
R00000045,2025-12-20 02:40:23,C106764,P108326,5,Good quality,True,8,0.83,2025-12-20,2025-12-25 02:40:23
R00000046,2025-11-09 02:48:06,C106434,P105681,5,Would buy again,True,1,0.651,2025-11-09,2025-11-10 02:48:06
R00000047,2026-02-25 20:08:24,C111142,P100012,5,Average item,True,4,0.54,2026-02-25,2026-02-26 20:08:24
