event_id,event_time,customer_id,session_id,event_type,product_id,device_type,traffic_channel,region,quantity,user_agent_family,ingestion_time
E000000001,2026-03-27 08:12:00,C105349,SESS65530483,remove_from_cart,P107531,desktop,email,Europe,1,Chrome,2026-03-27 08:19:00
E000000002,2026-03-06 04:04:50,C110807,SESS66747260,search,P105381,mobile,email,Latin America,1,Chrome,2026-03-06 04:04:50
E000000003,2025-11-05 18:44:40,C109572,SESS20326042,search,P107813,desktop,organic,Asia Pacific,1,Safari,2025-11-05 18:44:40
E000000004,2026-02-25 23:51:12,C120230,SESS47495306,product_view,P105171,desktop,direct,Latin America,1,Chrome,2026-02-25 23:53:12
E000000005,2025-10-16 09:46:32,C114055,SESS31896137,page_view,P106496,mobile,direct,Latin America,1,Amazon_App,2025-10-16 09:49:32
E000000006,2025-12-25 03:44:19,C111952,SESS83426876,purchase_click,P102438,mobile,paid_search,Latin America,1,Chrome,2025-12-25 03:57:19
E000000007,2025-10-21 14:05:03,C110509,SESS56023514,add_to_cart,P110646,tablet,organic,Latin America,4,Firefox,2025-10-21 14:07:03
E000000008,2025-11-05 10:41:17,C115085,SESS53293432,product_view,P104366,desktop,organic,Europe,1,Firefox,2025-11-05 10:47:17
E000000009,2025-11-02 04:11:04,C124500,SESS15273868,product_view,P106583,mobile,email,North America,1,Chrome,2025-11-02 04:21:04
E000000010,2026-02-03 05:35:49,C118934,SESS55428633,page_view,P104319,mobile,paid_search,Middle East,1,Chrome,2026-02-03 05:35:49
E000000011,2025-12-03 03:07:14,C107291,SESS92682929,product_view,P110338,mobile,paid_search,Europe,2,Safari,2025-12-03 03:14:14
E000000012,2025-12-06 14:09:27,C106171,SESS38987798,search,P106525,mobile,organic,Asia Pacific,5,Safari,2025-12-06 14:10:27
E000000013,2025-12-24 03:07:17,C103693,SESS38731584,product_view,P111091,mobile,social,Middle East,1,Chrome,2025-12-24 03:11:17
E000000014,2025-12-08 02:33:27,C102421,SESS81088465,add_to_cart,P110660,desktop,organic,Latin America,2,Chrome,2025-12-08 02:39:27
E000000015,2025-11-21 07:28:51,C123444,SESS16847266,search,P108223,desktop,organic,Middle East,1,Safari,2025-11-21 07:29:51
E000000016,2025-10-31 03:01:10,C107552,SESS92758454,checkout_start,P108025,mobile,organic,Asia Pacific,1,Safari,2025-10-31 03:03:10
E000000017,2026-03-13 01:05:31,C113136,SESS53412910,add_to_cart,P103226,mobile,affiliate,Europe,3,Chrome,2026-03-13 01:09:31
E000000018,2026-02-22 22:21:28,C106677,SESS70100182,page_view,P101522,desktop,paid_search,Asia Pacific,1,Chrome,2026-02-22 22:22:28
